RA Master,,,,,,,
Level,Operator,Circle,LRN,Model,ROUTING DETAILS,HLR Detail,Sub Level
8606,IDEA,KL,3072,GSM,Please route Through BTSL (AES),HLR1,
8607,IDEA,HR,3068,GSM,Please route Through BTSL (AES),HLR1,
8608,IDEA,TN,3081,GSM,Please route Through BTSL (AES),CH HLR1,
8609,IDEA,WB,3084,GSM,Please route Through BTSL (AES),HLR3,
8650,VODAFONE,UW,4123,GSM,Please route Through BTSL (AES),HLR1,
8651,IDEA,BH,2100,GSM,Please route Through BTSL (AES),HLR5,
8652,IDEA,MB,3076,GSM,Please route Through BTSL (AES),HLR2,
8653,TATA_GSM,WB,3403,GSM,Please route Through BTSL (AES),HLR3,
8655,TATA_GSM,MB,3282,GSM,Please route Through BTSL (AES),HLR2,
8657,RELIANCE_GSM,MH,3137,GSM,Please route Through BTSL (AES),HLR2,
8658,AIRTEL,OR,3008,GSM,Please route Through BTSL (AES),86580-5 HLR1 & 86586-9 HLR2,
8670,AIRTEL,WB,3023,GSM,Please route Through BTSL (AES),HLR4,
8675,AIRCEL,TN,2109,GSM,Please route Through BTSL (AES),CH HLR1,
8679,AIRCEL,HP,3051,GSM,Please route Through BTSL (AES),HLR1,
8686,AIRCEL,AP,2102,GSM,Please route Through BTSL (AES),HLR2,
8687,RELIANCE_GSM,UE,3142,GSM,Please route Through BTSL (AES),HLR1,
8688,RELIANCE_GSM,AP,3130,GSM,Please route Through BTSL (AES),HLR2,
8690,RELIANCE_GSM,GJ,3132,GSM,Please route Through BTSL (AES),HLR3,
8695,RELIANCE_GSM,TN,3141,GSM,Please route Through BTSL (AES),CH HLR1,
8696,VODAFONE,RJ,4103,GSM,Please route Through BTSL (AES),HLR1,
8698,VODAFONE,MH,4100,GSM,Please route Through BTSL (AES),HLR2,
8699,TATA_GSM,PB,3298,GSM,Please route Through BTSL (AES),HLR2,
8712,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
8714,TATA_GSM,KL,3293,GSM,Please route Through BTSL (AES),HLR1,
8722,IDEA,KA,3205,GSM,Please route Through BTSL (AES),HLR2,
8726,IDEA,UE,3082,GSM,Please route Through BTSL (AES),HLR1,
8750,IDEA,DL,3066,GSM,Please route Through BTSL (AES),HLR2,
8754,AIRTEL,TN,3020,GSM,Please route Through BTSL (AES),HLR1,
8755,AIRTEL,UW,3022,GSM,Please route Through BTSL (AES),87550-8 - HLR1 & 87559- RHLR,
8756,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),87560-8 HLR2  &  87569  RHLR,
8757,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),HLR2,
8758,VODAFONE,GJ,4106,GSM,Please route Through BTSL (AES),HLR3,
8759,AIRCEL,WB,3061,GSM,Please route Through BTSL (AES),HLR3,
8760,AIRCEL,TN,2109,GSM,Please route Through BTSL (AES),CH HLR1,
8762,BSNL_GSM,KA,2490,GSM,Please route Through BTSL (AES),HLR2,
8763,MTNL_BSNL_GSM,OR,2496,GSM,Please route Through BTSL (AES),HLR1,
